
Sample:   c= 0 mg/ml  Code: 
 8.532400e-003  6.727900e-004  3.438795e-004
 9.845080e-003  1.496750e-003  2.559888e-004
 1.115780e-002  1.570410e-003  2.039901e-004
 1.247040e-002  1.677480e-003  1.706622e-004
 1.378310e-002  1.682320e-003  1.473739e-004
 1.509580e-002  1.559902e-003  1.295356e-004
 1.640850e-002  1.315511e-003  1.115813e-004
 1.772110e-002  1.308531e-003  1.022551e-004
 1.903380e-002  1.304701e-003  9.466875e-005
 2.034650e-002  1.282365e-003  8.867490e-005
 2.165920e-002  1.225022e-003  8.362397e-005
 2.297180e-002  1.233002e-003  7.940167e-005
 2.428450e-002  1.275952e-003  7.560804e-005
 2.559720e-002  1.239511e-003  7.266516e-005
 2.690990e-002  1.185876e-003  7.031639e-005
 2.822260e-002  1.203493e-003  6.800797e-005
 2.953520e-002  1.015704e-003  6.626103e-005
 3.084790e-002  1.005701e-003  6.422583e-005
 3.216060e-002  1.085949e-003  6.229546e-005
 3.347330e-002  1.029883e-003  6.079294e-005
 3.478590e-002  1.041060e-003  5.906536e-005
 3.609860e-002  1.033136e-003  5.757846e-005
 3.741130e-002  9.445320e-004  5.621397e-005
 3.872400e-002  8.887930e-004  5.504597e-005
 4.003660e-002  8.350260e-004  5.420144e-005
 4.134930e-002  8.901240e-004  5.297961e-005
 4.266200e-002  8.030760e-004  5.193550e-005
 4.397470e-002  6.849880e-004  5.099563e-005
 4.528740e-002  6.782070e-004  5.017979e-005
 4.660000e-002  6.829040e-004  4.932748e-005
 4.791270e-002  6.501970e-004  4.853783e-005
 4.922540e-002  5.988250e-004  4.780770e-005
 5.053810e-002  6.252490e-004  4.686330e-005
 5.185070e-002  4.994860e-004  4.622822e-005
 5.316340e-002  5.394680e-004  4.561556e-005
 5.447610e-002  5.221680e-004  4.490632e-005
 5.578880e-002  4.136350e-004  4.424547e-005
 5.710140e-002  4.739990e-004  4.345568e-005
 5.841410e-002  4.639030e-004  4.309071e-005
 5.972680e-002  3.820840e-004  4.256591e-005
 6.103950e-002  3.464520e-004  4.211284e-005
 6.235220e-002  3.260240e-004  4.164796e-005
 6.366480e-002  4.331170e-004  4.109100e-005
 6.497750e-002  3.825320e-004  4.056251e-005
 6.629020e-002  3.645440e-004  3.997188e-005
 6.760290e-002  3.177710e-004  3.962761e-005
 6.891550e-002  2.731070e-004  3.922696e-005
 7.022820e-002  2.692810e-004  3.884944e-005
 7.154090e-002  2.589660e-004  3.834334e-005
 7.285360e-002  2.584520e-004  3.792634e-005
 7.416630e-002  2.066410e-004  3.763692e-005
 7.547890e-002  2.563260e-004  3.740238e-005
 7.679160e-002  2.446170e-004  3.704050e-005
 7.810430e-002  2.016610e-004  3.665630e-005
 7.941700e-002  1.978010e-004  3.630731e-005
 8.072960e-002  2.027290e-004  3.595673e-005
 8.204230e-002  2.164570e-004  3.558063e-005
 8.335500e-002  2.150140e-004  3.532314e-005
 8.466770e-002  2.317470e-004  3.494071e-005
 8.598030e-002  2.261620e-004  3.465826e-005
 8.729300e-002  1.986740e-004  3.437723e-005
 8.860570e-002  1.696370e-004  3.400586e-005
 8.991840e-002  1.905100e-004  3.367015e-005
 9.123110e-002  1.464840e-004  3.344689e-005
 9.254370e-002  1.166620e-004  3.316465e-005
 9.385640e-002  1.121860e-004  3.296992e-005
 9.516910e-002  1.197940e-004  3.269107e-005
 9.648180e-002  1.147530e-004  3.244722e-005
 9.779440e-002  1.343040e-004  3.220743e-005
 9.910710e-002  1.122000e-004  3.207121e-005
 1.004200e-001  1.217910e-004  3.188931e-005
 1.017320e-001  1.601470e-004  3.160290e-005
 1.030450e-001  1.274190e-004  3.139264e-005
 1.043580e-001  4.496400e-005  3.118956e-005
 1.056700e-001  7.851500e-005  3.086735e-005
 1.069830e-001  7.564800e-005  3.066541e-005
 1.082960e-001  2.823000e-005  3.053732e-005
 1.096090e-001  1.478600e-005  3.043379e-005
 1.109210e-001  2.056100e-005  3.019684e-005
 1.122340e-001  9.265000e-006  2.990913e-005
 1.135470e-001  3.813000e-005  2.974877e-005
 1.148590e-001  5.521700e-005  2.951567e-005
 1.161720e-001  1.817600e-005  2.934426e-005
 1.174850e-001  1.082600e-005  2.910466e-005
 1.187970e-001  3.601100e-005  2.896154e-005
 1.201100e-001  7.198500e-005  2.876958e-005
 1.214230e-001  9.358500e-005  2.857050e-005
 1.227350e-001  7.137400e-005  2.838220e-005
 1.240480e-001  1.483600e-005  2.823289e-005
 1.253610e-001  6.409900e-005  2.804132e-005
 1.266730e-001  8.568300e-005  2.794781e-005
 1.279860e-001  3.127200e-005  2.774007e-005
 1.292990e-001  7.226900e-005  2.756284e-005
 1.306110e-001  7.109500e-005  2.739446e-005
 1.319240e-001  3.517000e-005  2.728841e-005
 1.332370e-001  3.616700e-005  2.715942e-005
 1.345490e-001  2.971400e-005  2.698125e-005
 1.358620e-001 -9.719000e-006  2.685811e-005
range-from: 4
range-to: 101
