Q_RNA40_SMB	R_RNA40_SMB	S_RNA40_SMB
0.00574	0.05033386	0.003568053
0.00738	0.04067449	0.00177417
0.00903	0.03186935	0.001084215
0.0107	0.02621828999999999	0.0007425229999999999
0.0123	0.02207856	0.0005565637
0.0139	0.01899019	0.000446828
0.0156	0.01524472	0.0003607479
0.0172	0.01301058	0.0003108083
0.0189	0.01169638	0.0002812388
0.0205	0.0105136	0.0002575832
0.0222	0.009593659999999999	0.0002398415
0.0238	0.008476589999999999	0.0002253853
0.0254	0.00768807	0.0002135575
0.0271	0.006833839999999999	0.0002030439
0.0287	0.006104459	0.0001945016
0.0304	0.005664202	0.0001872735
0.032	0.005565637	0.0001807025
0.0336	0.005145093	0.0001747886
0.0353	0.004671981	0.0001701889
0.0369	0.004185726999999999	0.0001655892
0.0386	0.004264578999999999	0.0001603324
0.0402	0.004251437	0.0001563898
0.0418	0.003863748	0.0001531043
0.0435	0.003462917	0.0001498188
0.0451	0.003384065	0.0001465333
0.0468	0.003443204	0.0001432478
0.0484	0.003140938	0.0001406194
0.05	0.002963521	0.000137991
0.0517	0.002575832	0.0001353626
0.0533	0.002319563	0.0001333913
0.055	0.00236556	0.0001307629
0.0566	0.002339276	0.0001287916
0.0583	0.002404986	0.0001268203
0.0599	0.00223414	0.000124849
0.0615	0.002063294	0.0001228777
0.06320000000000001	0.002089578	0.0001209064
0.0648	0.001931874	0.0001195922
0.0665	0.001885877	0.000118278
0.06809999999999999	0.001813596	0.0001163067
0.0697	0.00183988	0.0001149925
0.07140000000000001	0.001655892	0.0001136783
0.073	0.001439049	0.000111707
0.0747	0.001471904	0.0001103928
0.07630000000000001	0.00144562	0.0001090786
0.0779	0.001353626	0.0001077644
0.0796	0.001301058	0.0001071073
0.08119999999999999	0.001458762	0.0001057931
0.0829	0.001412765	0.0001044789
0.08450000000000001	0.001255061	0.0001031647
0.0861	0.001301058	0.0001025076
0.0878	0.001156496	0.0001011934
0.08939999999999999	0.001025076	9.98792e-05
0.0911	0.001038218	9.922209999999999e-05
0.0927	0.001077644	9.790789999999999e-05
0.0944	0.001044789	9.725079999999999e-05
0.096	0.001084215	9.65937e-05
0.09760000000000001	0.000946224	9.52795e-05
0.0993	0.0007688069999999999	9.462239999999999e-05
0.101	0.000762236	9.396529999999999e-05
0.103	0.0008345169999999999	9.33082e-05
0.104	0.000847659	9.26511e-05
0.106	0.0009659369999999999	9.13369e-05
0.107	0.0007950909999999999	9.067979999999999e-05
0.109	0.000716239	9.002269999999999e-05
0.111	0.0006833839999999999	8.93656e-05
0.112	0.000735952	8.87085e-05
0.114	0.000729381	8.80514e-05
0.116	0.000775378	8.739429999999999e-05
0.117	0.000709668	8.673720000000001e-05
0.119	0.0006965259999999999	8.60801e-05
0.121	0.0006702419999999999	8.542299999999998e-05
0.122	0.0007688069999999999	8.410879999999999e-05
0.124	0.000735952	8.345169999999999e-05
0.126	0.000801662	8.27946e-05
0.127	0.0007490940000000001	8.27946e-05
0.129	0.000584819	8.21375e-05
0.13	0.0006137314	8.14804e-05
0.132	0.0006354157	8.08233e-05
0.134	0.0005526210999999999	8.016619999999999e-05
0.135	0.0005361936	7.950909999999999e-05
0.137	0.0006544716	7.950909999999999e-05
0.139	0.000762236	7.8852e-05
0.14	0.0005736482999999999	7.81949e-05
0.142	0.0003673189	7.75378e-05
0.144	0.0004540561	7.688069999999999e-05
0.145	0.0005690486	7.688069999999999e-05
0.147	0.0005434217	7.622360000000001e-05
0.149	0.0005085954	7.55665e-05
0.15	0.0004974246999999999	7.49094e-05
0.152	0.0004823113999999999	7.49094e-05
0.153	0.0004258008	7.42523e-05
0.155	0.0005105667	7.359519999999999e-05
0.157	0.0004967675999999999	7.359519999999999e-05
0.158	0.0004317146999999999	7.293810000000001e-05
0.16	0.0005210803	7.228099999999999e-05
0.162	0.0005296226	7.228099999999999e-05
0.163	0.0004869111	7.16239e-05
0.165	0.0004842827	7.09668e-05
0.167	0.0004304005	7.09668e-05
0.168	0.0002884669	7.09668e-05
0.17	0.0003535198	7.030969999999999e-05
0.171	0.0003896602999999999	6.96526e-05
0.173	0.0004415711999999999	6.96526e-05
0.175	0.0004547132	6.899549999999999e-05
0.176	0.0004244865999999999	6.899549999999999e-05
0.178	0.0003423491	6.83384e-05
0.18	0.0003594337	6.83384e-05
0.181	0.0003692901999999999	6.76813e-05
0.183	0.000289124	6.76813e-05
0.185	0.0003278929	6.70242e-05
0.186	0.0002687539	6.70242e-05
0.188	0.0003029231	6.636709999999999e-05
0.19	0.0003206648	6.636709999999999e-05
0.191	0.0002996376	6.571000000000001e-05
0.193	0.0002588974	6.557857999999999e-05
0.194	0.0002595545	6.525003e-05
0.196	0.0003344639	6.485577e-05
0.198	0.0002188143	6.452721999999999e-05
0.199	0.0001885877	6.465864000000001e-05
0.201	0.0002056723	6.433009e-05
0.203	0.0002812388	6.400154e-05
0.204	0.0002378702	6.367299e-05
0.206	0.0003167222	6.341015e-05
0.208	0.0003252645	6.314730999999999e-05
0.209	0.0003186935	6.288447e-05
0.211	0.0003594337	6.255592e-05
0.213	0.0004133159	6.229308e-05
0.214	0.0003633763	6.203023999999999e-05
0.216	0.0003706044	6.176739999999999e-05
0.217	0.000295695	6.150456e-05
0.219	0.0002411557	6.124172e-05
0.221	0.0002536406	6.104459000000001e-05
0.222	0.0003456346	6.065032999999999e-05
0.224	0.0004100303999999999	6.038749e-05
0.226	0.0002707252	6.019036e-05
0.227	0.0001846451	5.992752e-05
0.229	0.0001163067	5.966468e-05
0.231	0.0001136783	5.946755e-05
0.232	0.0002457554	5.927042e-05
0.234	0.0003423491	5.900758e-05
0.235	0.0003311784	5.881045000000001e-05
0.237	0.0003200077	5.854761e-05
0.239	0.0002680968	5.835047999999999e-05
0.24	0.0002326134	5.815334999999999e-05
0.242	0.0001340484	5.795622e-05
0.244	0.0002582403	5.775909e-05
0.245	0.0001741315	5.756196000000001e-05
0.247	0.0001853022	5.736482999999999e-05
0.249	0.0002109291	5.71677e-05
0.25	0.0002536406	5.723340999999999e-05
0.252	0.0003318355	5.697057e-05
0.254	0.0002615258	5.677344e-05
0.255	0.0002766391	5.65106e-05
0.257	0.0004435425	5.631346999999999e-05
0.258	0.0003114654	5.618205e-05
0.26	0.0002450983	5.591921e-05
0.262	0.0002181572	5.572208e-05
0.263	0.0002010726	5.559066e-05
0.265	0.0002897811	5.539353e-05
0.267	0.0003193506	5.519639999999999e-05
0.268	0.0002306421	5.493356e-05
0.27	0.0001885877	5.473643e-05
0.272	0.0002142146	5.45393e-05
0.273	0.0002332705	5.440788e-05
0.275	0.000282553	5.427646e-05
0.276	0.0002418128	5.407933e-05
0.278	0.0002411557	5.38822e-05
0.28	0.000229985	5.375077999999999e-05
0.281	0.0002109291	5.355365e-05
0.283	0.0003029231	5.342223e-05
0.285	0.0003062086	5.32251e-05
0.286	0.0002372131	5.302797e-05
0.288	0.0002812388	5.289654999999999e-05
0.29	0.0001872735	5.283083999999999e-05
0.291	0.0001925303	5.355365e-05
0.293	0.0001918732	5.368507e-05
0.295	0.0002010726	5.381648999999999e-05
0.296	0.0002214427	5.480214e-05
0.298	0.000295695	5.506497999999999e-05
0.299	0.0003581195	5.539353e-05
0.301	0.000348263	5.58535e-05
0.303	0.0003002947	5.749624999999999e-05
0.304	0.000164275	5.697057e-05
0.306	0.0001123641	5.723340999999999e-05
0.308	0.0001853022	5.71677e-05
0.309	0.000203701	5.729912e-05
0.311	0.0001215635	5.743053999999999e-05
0.313	0.0001945016	5.756196000000001e-05
0.314	0.000315408	5.828477e-05
0.316	0.0002864956	5.775909e-05
0.318	0.0001859593	5.789051e-05
0.319	0.0001189351	5.959896999999999e-05
0.321	0.0001517901	5.835047999999999e-05
0.322	0.0002023868	5.841619e-05
0.324	0.0002266995	5.979609999999999e-05
0.326	0.0002253853	5.881045000000001e-05
0.327	0.0001761028	6.071604e-05
0.329	9.59366e-05	6.176739999999999e-05
0.331	6.43958e-05	6.235879e-05
0.332	0.0001301058	6.472435e-05
0.334	0.0002135575	6.557857999999999e-05
0.336	0.0002326134	6.571000000000001e-05
0.337	0.0002608687	6.76813e-05
0.339	0.0001366768	6.96526e-05
0.34	0.0001669034	6.96526e-05
0.342	0.0002253853	6.96526e-05
0.344	0.0003554911	7.16239e-05
0.345	0.000381118	7.16239e-05
0.347	0.0002818959	7.55665e-05
0.349	0.000137991	7.75378e-05
0.35	0.0002385273	7.49094e-05
0.352	0.0002621829	7.688069999999999e-05
0.354	0.0001386481	8.016619999999999e-05
0.355	0.0001235348	7.81949e-05
0.357	0.0001097357	8.60801e-05
0.359	0.000157704	8.27946e-05
0.36	0.0002779533	8.21375e-05
0.362	0.0002050152	8.410879999999999e-05
0.363	0.0001110499	8.47659e-05
0.365	0.0002214427	8.80514e-05
0.367	0.0001866164	9.13369e-05
0.368	0.0001892448	8.87085e-05
0.37	0.0001964729	9.067979999999999e-05
0.372	0.0001570469	9.26511e-05
0.373	1.570469e-05	9.067979999999999e-05
0.375	0.0001899019	9.59366e-05
0.377	0.0002930666	0.0001011934
0.378	0.0002227569	9.52795e-05
0.38	0.0002345847	0.0001090786
0.382	0.0002424699	9.8565e-05
0.383	0.0002950379	0.0001084215
0.385	0.0001728173	0.0001025076
0.386	0.0001057931	0.0001044789
0.388	0.000137991	0.000111707
0.39	9.26511e-05	0.0001077644
0.391	0.0001754457	0.0001209064
0.393	0.0001945016	0.0001215635
0.395	0.0001655892	0.0001195922
0.396	0.0002286708	0.0001301058
0.398	0.0002142146	0.0001294487
0.4	0.0001412765	0.0001241919
0.401	3.180364e-05	0.0001320771
0.403	7.81949e-05	0.0001340484
0.404	0.000157704	0.0001360197
0.406	0.0002280137	0.0001386481
0.408	0.0001097357	0.0001603324
0.409	0.0002043581	0.0001478475
0.411	0.0004487993	0.000157704
0.413	0.0005486785	0.0001623037
0.414	0.0001859593	0.0001590182
0.416	-3.620621e-05	0.0001931874
0.418	0.0001997584	0.0001754457
0.419	0.0004915108	0.0001669034
0.421	0.0003955742	0.0001912161
0.423	0.0003226361	0.0001866164
0.424	0.0003443204	0.0002056723
0.426	0.0003430062	0.0002155288
0.427	0.0005217374	0.0002733536
0.429	0.0002089578	0.0002345847
0.431	-0.0001432478	0.0003042373
0.432	0.000137991	0.0002897811
0.434	0.000157704	0.0002792675
0.436	0.0003062086	0.0002989805
0.437	-0.0001623037	0.0003430062
0.439	-5.164805999999999e-05	0.0003535198
0.441	-0.0004343430999999999	0.0003147509
0.442	-0.0004763975	0.0003331497
0.444	-0.0003771754	0.0003968883999999999
0.446	-0.0002017297	0.0003890032
0.447	-0.000762236	0.0003725757
0.449	-0.0006833839999999999	0.0003962313
0.45	0.0001320771	0.0004487993
0.452	-6.189882e-05	0.001149925
